PARLAMENTAR;PARTIDO;ESTADO;POSI플O_BLOCO;ESPECTRO;REGI홒;SEXO;SENIORIDADE;VOTO
ALAN RICK;DEM;ACRE;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;NAO
DRA. VANDA MILANI;Solidaried;ACRE;GOVERNO;CENTRO;NORTE;FEMININO;NOVATO;ABSTENCAO
FLAVIANO MELO;MDB;ACRE;GOVERNO;CENTRO;NORTE;MASCULINO;REELEITO;ABSTENCAO
JESSICA SALES;MDB;ACRE;GOVERNO;CENTRO;NORTE;FEMININO;REELEITO;SIM
JESUS SERGIO;PDT;ACRE;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;NAO
MANUEL MARCOS;REPUBLICAN;ACRE;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;ABSTENCAO
MARA ROCHA;PSDB;ACRE;GOVERNO;CENTRO;NORTE;FEMININO;NOVATO;NAO
PERPETUA ALMEIDA;PCdoB;ACRE;OPOSI플O;ESQUERDA;NORTE;FEMININO;RETORNO;ABSTENCAO
ARTHUR LIRA;PP;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
ISNALDO BULHOES JR.;MDB;ALAGOAS;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;SIM
JHC;PSB;ALAGOAS;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;NAO
MARX BELTRAO;PSD;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
NIVALDO ALBUQUERQUE;PTB;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
PAULAO;PT;ALAGOAS;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
SERGIO TOLEDO;PL;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
SEVERINO PESSOA;Republican;ALAGOAS;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
TEREZA NELMA;PSDB;ALAGOAS;GOVERNO;CENTRO;NORDESTE;FEMININO;REELEITO;ABSTENCAO
ACACIO FAVACHO;PROS;AMAPA;OPOSI플O;CENTRO;NORTE;MASCULINO;NOVATO;SIM
ALINE GURGEL;Republican;AMAPA;GOVERNO;DIREITA;NORTE;FEMININO;NOVATO;SIM
ANDRE ABDON;PP;AMAPA;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;SIM
CAMILO CAPIBERIBE;PSB;AMAPA;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;SIM
LEDA SADALA;Avante;AMAPA;GOVERNO;CENTRO;NORTE;FEMININO;NOVATO;ABSTENCAO
LUIZ CARLOS;PSDB;AMAPA;GOVERNO;CENTRO;NORTE;MASCULINO;RETORNO;ABSTENCAO
PATRICIA FERRAZ;PL;AMAPA;GOVERNO;DIREITA;NORTE;FEMININO;NOVATO;NAO
PROFESSORA MARCIVANIA;PCdoB;AMAPA;OPOSI플O;ESQUERDA;NORTE;FEMININO;REELEITO;ABSTENCAO
ATILA LINS;PP;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;SIM
BOSCO SARAIVA;Solidaried;AMAZONAS;GOVERNO;CENTRO;NORTE;MASCULINO;NOVATO;SIM
CAPITAO ALBERTO NETO;REPUBLICAN;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;ABSTENCAO
DELEGADO PABLO;PSL;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;NAO
JOSE RICARDO;PT;AMAZONAS;OPOSI플O;ESQUERDA;NORTE;MASCULINO;NOVATO;SIM
MARCELO RAMOS;PL;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;SIM
SIDNEY LEITE;PSD;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;NOVATO;ABSTENCAO
SILAS CAMARA;REPUBLICAN;AMAZONAS;GOVERNO;DIREITA;NORTE;MASCULINO;REELEITO;ABSTENCAO
ABILIO SANTANA;PL;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
ADOLFO VIANA;PSDB;BAHIA;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;SIM
AFONSO FLORENCE;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
ALEX SANTANA;PDT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
ALICE PORTUGAL;PCdoB;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;FEMININO;REELEITO;ABSTENCAO
ANTONIO BRITO;PSD;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
ARTHUR OLIVEIRA MAIA;DEM;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
BACELAR;Podemos;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
CACA LEAO;PP;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
CHARLES FERNANDES;PSD;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
CLAUDIO CAJADO;PP;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
DANIEL ALMEIDA;PCdoB;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
ELMAR NASCIMENTO;DEM;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
FELIX MENDONCA JUNIOR;PDT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
IGOR KANNARIO;DEM;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
JOAO CARLOS BACELAR;PL;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
JOAO ROMA;Republican;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
JORGE SOLLA;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
JOSE NUNES;PSD;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
JOSE ROCHA;PL;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
JOSEILDO RAMOS;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
LEUR LOMANTO JUNIOR;DEM;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
LIDICE DA MATA;PSB;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;FEMININO;RETORNO;SIM
MARCELO NILO;PSB;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
MARCIO MARINHO;Republican;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
MARIO NEGROMONTE JR.;PP;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
OTTO ALENCAR FILHO;PSD;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
PASTOR SARGENTO ISIDORIO;Avante;BAHIA;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;SIM
PAULO AZI;DEM;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
PAULO MAGALHAES;PSD;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
PROFESSORA DAYANE PIMENTEL;PSL;BAHIA;GOVERNO;DIREITA;NORDESTE;FEMININO;NOVATO;NAO
RAIMUNDO COSTA;PL;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
RONALDO CARLETTO;PP;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
SERGIO BRITO;PSD;BAHIA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
TITO;Avante;BAHIA;GOVERNO;CENTRO;NORDESTE;MASCULINO;NOVATO;NAO
ULDURICO JUNIOR;PROS;BAHIA;OPOSI플O;CENTRO;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
VALMIR ASSUNCAO;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
WALDENOR PEREIRA;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
ZE NETO;PT;BAHIA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
AJ ALBUQUERQUE;PP;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
ANDRE FIGUEIREDO;PDT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
CAPITAO WAGNER;PROS;CEARA;OPOSI플O;CENTRO;NORDESTE;MASCULINO;NOVATO;NAO
CELIO STUDART;PV;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;NAO
DENIS BEZERRA;PSB;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
DOMINGOS NETO;PSD;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
DR. JAZIEL;PL;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;NAO
EDUARDO BISMARCK;PDT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
GENECIAS NORONHA;Solidaried;CEARA;GOVERNO;CENTRO;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
HEITOR FREIRE;PSL;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;NAO
IDILVAN ALENCAR;PDT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;NAO
JOSE AIRTON CIRILO;PT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
JOSE GUIMARAES;PT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
JUNIOR MANO;PL;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
LEONIDAS CRISTINO;PDT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;SIM
LUIZIANNE LINS;PT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;FEMININO;REELEITO;ABSTENCAO
MAURO BENEVIDES FILHO;PDT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
PEDRO AUGUSTO BEZERRA;PTB;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;NAO
ROBERIO MONTEIRO;PDT;CEARA;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
ROBERTO PESSOA;PSDB;CEARA;GOVERNO;CENTRO;NORDESTE;MASCULINO;RETORNO;ABSTENCAO
RONALDO MARTINS;Republican;CEARA;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
VAIDON OLIVEIRA;PROS;CEARA;OPOSI플O;CENTRO;NORDESTE;MASCULINO;REELEITO;SIM
BIA KICIS;PSL;DISTRITO FEDERAL;GOVERNO;DIREITA;CENTRO OESTE;FEMININO;NOVATO;NAO
CELINA LEAO;PP;DISTRITO FEDERAL;GOVERNO;DIREITA;CENTRO OESTE;FEMININO;NOVATO;SIM
ERIKA KOKAY;PT;DISTRITO FEDERAL;OPOSI플O;ESQUERDA;CENTRO OESTE;FEMININO;REELEITO;SIM
FLAVIA ARRUDA;PL;DISTRITO FEDERAL;GOVERNO;DIREITA;CENTRO OESTE;FEMININO;NOVATO;ABSTENCAO
JULIO CESAR RIBEIRO;Republican;DISTRITO FEDERAL;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;SIM
LUIS MIRANDA;DEM;DISTRITO FEDERAL;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;NAO
PAULA BELMONTE;CIDADANIA;DISTRITO FEDERAL;OPOSI플O;ESQUERDA;CENTRO OESTE;FEMININO;NOVATO;NAO
PROFESSOR ISRAEL BATISTA;PV;DISTRITO FEDERAL;OPOSI플O;ESQUERDA;CENTRO OESTE;MASCULINO;NOVATO;ABSTENCAO
AMARO NETO;Republican;ESPIRITO SANTO;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;SIM
JOSIAS DA VITORIA;CIDADANIA;ESPIRITO SANTO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;NAO
DRA. SORAYA MANATO;PSL;ESPIRITO SANTO;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;NAO
EVAIR VIEIRA DE MELO;PP;ESPIRITO SANTO;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;ABSTENCAO
FELIPE RIGONI;PSB;ESPIRITO SANTO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;NOVATO;NAO
HELDER SALOMAO;PT;ESPIRITO SANTO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;SIM
LAURIETE;PL;ESPIRITO SANTO;GOVERNO;DIREITA;SUDESTE;FEMININO;RETORNO;NAO
NORMA AYUB;DEM;ESPIRITO SANTO;GOVERNO;DIREITA;SUDESTE;FEMININO;REELEITO;NAO
SERGIO VIDIGAL;PDT;ESPIRITO SANTO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;NAO
TED CONTI;PSB;ESPIRITO SANTO;OPOSI플O;ESQUERDA;SUDESTE;MASCULINO;REELEITO;NAO
ADRIANO DO BALDY;PP;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;SIM
ALCIDES RODRIGUES;Patriota;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;SIM
CELIO SILVEIRA;PSDB;GOIAS;GOVERNO;CENTRO;CENTRO OESTE;MASCULINO;REELEITO;NAO
DELEGADO WALDIR;PSL;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;REELEITO;ABSTENCAO
DR. ZACHARIAS CALIL;DEM;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;NAO
ELIAS VAZ;PSB;GOIAS;OPOSI플O;ESQUERDA;CENTRO OESTE;MASCULINO;NOVATO;NAO
FLAVIA MORAIS;PDT;GOIAS;OPOSI플O;ESQUERDA;CENTRO OESTE;FEMININO;REELEITO;ABSTENCAO
FRANCISCO JR.;PSD;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;NAO
GLAUSTIN FOKUS;PSC;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;ABSTENCAO
JOAO CAMPOS;Republican;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;REELEITO;SIM
JOSE MARIO SCHREINER;DEM;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;NAO
JOSE NELTO;Podemos;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;ABSTENCAO
LUCAS VERGILIO;Solidaried;GOIAS;GOVERNO;CENTRO;CENTRO OESTE;MASCULINO;REELEITO;SIM
MAGDA MOFATTO;PL;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;FEMININO;REELEITO;SIM
PROFESSOR ALCIDES;PP;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;REELEITO;SIM
RUBENS OTONI;PT;GOIAS;OPOSI플O;ESQUERDA;CENTRO OESTE;MASCULINO;REELEITO;ABSTENCAO
VITOR HUGO;PSL;GOIAS;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;NAO
ALUISIO MENDES;PSC;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
ANDRE FUFUCA;PP;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
BIRA DO PINDARE;PSB;MARANHAO;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
DR. GONCALO;Republican;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
EDILAZIO JUNIOR;PSD;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
EDUARDO BRAIDE;Podemos;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
GASTAO VIEIRA;PROS;MARANHAO;OPOSI플O;CENTRO;NORDESTE;MASCULINO;RETORNO;SIM
GIL CUTRIM;PDT;MARANHAO;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
GILDENEMYR;PL;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
HILDO ROCHA;MDB;MARANHAO;GOVERNO;CENTRO;NORDESTE;MASCULINO;REELEITO;SIM
JOAO MARCELO SOUZA;MDB;MARANHAO;GOVERNO;CENTRO;NORDESTE;MASCULINO;REELEITO;SIM
JOSIMAR MARANHAOZINHO;PL;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
JUNIOR LOURENCO;PL;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
JUSCELINO FILHO;DEM;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;REELEITO;SIM
MARCIO JERRY;PCdoB;MARANHAO;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;NOVATO;SIM
MARRECA FILHO;Patriota;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;ABSTENCAO
PEDRO LUCAS FERNANDES;PTB;MARANHAO;GOVERNO;DIREITA;NORDESTE;MASCULINO;NOVATO;SIM
ZE CARLOS;PT;MARANHAO;OPOSI플O;ESQUERDA;NORDESTE;MASCULINO;REELEITO;ABSTENCAO
CARLOS BEZERRA;MDB;MATO GROSSO;GOVERNO;CENTRO;CENTRO OESTE;MASCULINO;REELEITO;ABSTENCAO
DR. LEONARDO;Solidaried;MATO GROSSO;GOVERNO;CENTRO;CENTRO OESTE;MASCULINO;NOVATO;SIM
EMANUEL PINHEIRO NETO;PTB;MATO GROSSO;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;NAO
JOSE MEDEIROS;Podemos;MATO GROSSO;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;RETORNO;ABSTENCAO
JUAREZ COSTA;MDB;MATO GROSSO;GOVERNO;CENTRO;CENTRO OESTE;MASCULINO;NOVATO;NAO
NELSON BARBUDO;PSL;MATO GROSSO;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;ABSTENCAO
NERI GELLER;PP;MATO GROSSO;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;NOVATO;SIM
PROFESSORA ROSA NEIDE;PT;MATO GROSSO;OPOSI플O;ESQUERDA;CENTRO OESTE;FEMININO;NOVATO;SIM
BETO PEREIRA;PSDB;MATO GROSSO DO SUL;GOVERNO;CENTRO;CENTRO OESTE;MASCULINO;REELEITO;SIM
BIA CAVASSA;PSDB;MATO GROSSO DO SUL;GOVERNO;CENTRO;CENTRO OESTE;FEMININO;NOVATO;NAO
DAGOBERTO NOGUEIRA;PDT;MATO GROSSO DO SUL;OPOSI플O;ESQUERDA;CENTRO OESTE;MASCULINO;REELEITO;SIM
DR. LUIZ OVANDO;PSL;MATO GROSSO DO SUL;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;REELEITO;NAO
FABIO TRAD;PSD;MATO GROSSO DO SUL;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;RETORNO;SIM
LOESTER TRUTIS;PSL;MATO GROSSO DO SUL;GOVERNO;DIREITA;CENTRO OESTE;MASCULINO;REELEITO;ABSTENCAO
ROSE MODESTO;PSDB;MATO GROSSO DO SUL;GOVERNO;CENTRO;CENTRO OESTE;FEMININO;REELEITO;NAO
VANDER LOUBET;PT;MATO GROSSO DO SUL;OPOSI플O;ESQUERDA;CENTRO OESTE;MASCULINO;REELEITO;SIM
AECIO NEVES;PSDB;MINAS GERAIS;GOVERNO;CENTRO;SUDESTE;MASCULINO;RETORNO;ABSTENCAO
ALE SILVA;PSL;MINAS GERAIS;GOVERNO;DIREITA;SUDESTE;FEMININO;NOVATO;NAO
ANDRE JANONES;Avante;MINAS GERAIS;GOVERNO;CENTRO;SUDESTE;MASCULINO;NOVATO;NAO
AUREA CAROLINA;PSOL;MINAS GERAIS;OPOSI플O;ESQUERDA;SUDESTE;FEMININO;NOVATO;ABSTENCAO
CHARLLES EVANGELISTA;PSL;MINAS GERAIS;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;NAO
DELEGADO MARCELO FREITAS;PSL;MINAS GERAIS;GOVERNO;DIREITA;SUDESTE;MASCULINO;NOVATO;ABSTENCAO
DIEGO ANDRADE;PSD;MINAS GERAIS;GOVERNO;DIREITA;SUDESTE;MASCULINO;REELEITO;SIM
